Class;Class_ori;Alcohol;Malic acid;Ash;Alcalinity of ash;Magnesium;Total phenols;Flavanoids;Nonflavanoid phenols;Proanthocyanins;Color intensity;Hue;OD280/OD315 of diluted wines;Proline
1;1;0.478947368421053;0.1699604743083;0.620320855614973;0.371134020618557;0.271739130434783;0.517241379310345;0.428270042194093;0.245283018867925;0.331230283911672;0.226109215017065;0.495934959349594;0.864468864468864;0.52567760342368
1;1;0.531578947368421;0.179841897233202;0.636363636363636;0.381443298969072;0.304347826086957;0.506896551724138;0.440928270042194;0.30188679245283;0.324921135646688;0.253412969283276;0.520325203252033;0.454212454212454;0.589871611982882
1;1;0.531578947368421;0.195652173913043;0.363636363636364;0.0927835051546392;0.239130434782609;0.6;0.618143459915612;0.0754716981132076;0.788643533123028;0.505119453924915;0.520325203252033;0.600732600732601;0.621968616262482
1;1;0.531578947368421;0.203557312252964;0.39572192513369;0.329896907216495;0.402173913043478;0.696551724137931;0.561181434599156;0.283018867924528;0.511041009463722;0.320819112627986;0.32520325203252;0.761904761904762;0.432952924393723
1;1;0.531578947368421;0.258893280632411;0.994652406417112;0.742268041237113;0.58695652173913;0.568965517241379;0.493670886075949;0.641509433962264;0.476340694006309;0.196245733788396;0.528455284552846;0.706959706959707;0.393723252496434
1;1;0.536842105263158;0.150197628458498;0.39572192513369;0.252577319587629;0.304347826086957;0.489655172413793;0.485232067510549;0.283018867924528;0.302839116719243;0.206484641638225;0.569105691056911;0.52014652014652;0.529243937232525
1;1;0.560526315789474;0.320158102766798;0.700534759358289;0.412371134020619;0.33695652173913;0.627586206896552;0.611814345991561;0.320754716981132;0.757097791798107;0.375426621160409;0.447154471544715;0.695970695970696;0.646932952924394
1;1;0.571052631578947;0.205533596837945;0.417112299465241;0.0309278350515464;0.326086956521739;0.575862068965517;0.510548523206751;0.245283018867925;0.274447949526814;0.264505119453925;0.463414634146342;0.78021978021978;0.550641940085592
1;1;0.581578947368421;0.365612648221344;0.807486631016043;0.536082474226804;0.521739130434783;0.627586206896552;0.4957805907173;0.490566037735849;0.444794952681388;0.25938566552901;0.455284552845528;0.608058608058608;0.325962910128388
1;1;0.581578947368421;0.640316205533597;0.497326203208556;0.355670103092784;0.358695652173913;0.572413793103448;0.483122362869198;0.358490566037736;0.394321766561514;0.262798634812287;0.276422764227642;0.633699633699634;0.286733238231098
